iter	Passed	Remaining
438	1300	1661
439	1301	1657
440	1303	1652
441	1306	1649
442	1308	1645
443	1311	1642
444	1313	1638
445	1315	1633
446	1316	1628
447	1318	1624
448	1321	1621
449	1323	1617
450	1325	1613
451	1327	1608
452	1328	1604
453	1330	1599
454	1331	1595
455	1336	1594
456	1338	1590
457	1340	1585
458	1341	1580
459	1342	1575
460	1343	1571
461	1344	1566
462	1346	1561
463	1347	1557
464	1351	1554
465	1353	1550
466	1354	1546
467	1356	1542
468	1359	1539
469	1361	1534
470	1362	1530
471	1365	1527
472	1368	1524
473	1369	1519
474	1370	1515
475	1371	1510
476	1373	1505
477	1374	1500
478	1375	1496
479	1376	1491
480	1378	1486
481	1380	1483
482	1382	1480
483	1384	1475
484	1385	1471
485	1387	1467
486	1388	1462
487	1389	1458
488	1391	1453
489	1392	1449
490	1397	1448
491	1399	1444
492	1401	1441
493	1403	1437
494	1404	1432
495	1405	1428
496	1407	1424
497	1409	1420
498	1411	1417
499	1413	1413
500	1415	1409
501	1416	1404
502	1417	1400
503	1418	1396
504	1420	1392
505	1421	1388
506	1423	1383
507	1425	1381
508	1428	1377
509	1430	1373
510	1431	1370
511	1433	1366
512	1435	1362
513	1436	1358
514	1438	1354
515	1441	1352
516	1443	1349
517	1445	1344
518	1446	1340
519	1447	1336
520	1449	1332
521	1450	1328
522	1451	1323
523	1453	1319
524	1454	1316
525	1457	1313
526	1459	1309
527	1460	1305
528	1462	1302
529	1465	1299
530	1467	1295
531	1468	1291
532	1470	1288
533	1473	1285
534	1474	1281
535	1475	1277
536	1477	1273
537	1478	1269
538	1479	1265
539	1481	1261
540	1482	1257
541	1483	1253
542	1486	1251
543	1489	1248
544	1490	1244
545	1491	1240
546	1493	1236
547	1494	1232
548	1495	1228
549	1497	1224
550	1498	1221
551	1500	1217
552	1503	1215
553	1505	1212
554	1507	1208
555	1508	1204
556	1510	1201
557	1511	1197
558	1513	1193
559	1515	1190
560	1517	1187
561	1519	1184
562	1520	1180
563	1522	1176
564	1523	1172
565	1524	1168
566	1525	1165
567	1528	1162
568	1531	1160
569	1535	1158
570	1537	1155
571	1539	1151
572	1541	1148
573	1543	1145
574	1544	1141
575	1547	1139
576	1549	1135
577	1550	1132
578	1552	1129
579	1555	1126
580	1557	1123
581	1558	1119
582	1560	1115
583	1564	1114
584	1567	1111
585	1569	1108
586	1570	1105
587	1572	1101
588	1574	1098
589	1577	1096
590	1579	1093
591	1581	1089
592	1583	1086
593	1585	1083
594	1586	1079
595	1588	1076
596	1589	1073
597	1592	1070
598	1594	1067
599	1596	1064
600	1597	1060
601	1599	1057
602	1600	1053
603	1601	1050
604	1602	1046
605	1604	1042
606	1605	1039
607	1608	1036
608	1610	1034
609	1612	1031
610	1614	1027
611	1616	1024
612	1617	1021
613	1619	1017
614	1620	1014
615	1623	1011
616	1625	1008
617	1626	1005
618	1627	1001
619	1628	998
620	1630	994
621	1631	991
622	1632	987
623	1634	984
624	1635	981
625	1639	979
626	1640	976
627	1642	973
628	1646	971
629	1647	967
630	1648	964
631	1650	960
632	1653	958
633	1656	956
634	1657	952
635	1658	949
636	1659	945
637	1661	942
638	1666	941
639	1671	940
640	1673	937
641	1674	933
642	1675	930
643	1676	926
644	1678	923
645	1679	920
646	1680	916
647	1682	913
648	1684	911
649	1686	908
650	1688	905
651	1689	901
652	1690	898
653	1691	895
654	1693	891
655	1694	888
656	1695	885
657	1699	883
658	1701	880
659	1703	877
660	1704	874
661	1705	871
662	1707	867
663	1708	864
664	1709	861
665	1711	858
666	1712	855
667	1716	852
668	1717	849
669	1719	846
670	1721	843
671	1722	840
672	1724	837
673	1725	834
674	1729	832
675	1732	830
676	1733	827
677	1736	824
678	1738	821
679	1739	818
680	1741	815
681	1742	812
682	1745	809
683	1746	807
684	1748	804
685	1750	801
686	1752	798
687	1753	795
688	1754	791
689	1755	788
690	1757	785
691	1760	783
692	1762	780
693	1765	778
694	1767	775
695	1768	772
696	1769	769
697	1770	766
698	1772	763
699	1773	760
700	1776	757
701	1777	754
702	1779	751
703	1781	749
704	1783	746
705	1785	743
706	1787	740
707	1790	738
708	1792	735
709	1794	732
710	1795	729
711	1796	726
712	1797	723
713	1799	720
714	1800	717
715	1801	714
716	1805	712
717	1808	710
718	1809	707
719	1811	704
720	1812	701
721	1813	698
722	1815	695
723	1816	692
724	1817	689
725	1821	687
726	1823	684
727	1824	681
728	1826	678
729	1828	676
730	1830	673
731	1831	670
732	1833	667
733	1836	665
734	1837	662
735	1839	659
736	1842	657
737	1844	654
738	1845	651
739	1849	649
740	1851	647
741	1852	644
742	1854	641
743	1855	638
744	1856	635
745	1857	632
746	1859	629
747	1860	626
748	1861	623
749	1865	621
750	1866	618
751	1868	616
752	1869	613
753	1870	610
754	1872	607
755	1873	604
756	1874	601
757	1876	599
758	1877	596
759	1880	593
760	1882	591
761	1883	588
762	1884	585
763	1886	582
764	1887	579
765	1888	576
766	1889	573
767	1890	571
768	1892	568
769	1895	566
770	1896	563
771	1898	560
772	1899	557
773	1901	555
774	1902	552
775	1903	549
776	1904	546
777	1907	544
778	1909	541
779	1911	539
780	1913	536
781	1914	533
782	1916	531
783	1918	528
784	1919	525
785	1921	523
786	1922	520
787	1926	518
788	1927	515
789	1929	512
790	1932	510
791	1933	507
792	1935	505
793	1936	502
794	1938	499
795	1941	497
796	1943	494
797	1945	492
798	1946	489
799	1948	487
800	1949	484
801	1950	481
802	1951	478
803	1953	476
804	1956	473
805	1957	471
806	1959	468
807	1960	465
808	1961	463
809	1962	460
810	1964	457
811	1965	455
812	1966	452
813	1968	449
814	1970	447
815	1972	444
816	1974	442
817	1975	439
818	1976	436
819	1978	434
820	1979	431
821	1980	428
822	1982	426
823	1983	423
824	1986	421
825	1988	418
826	1989	416
827	1990	413
828	1992	410
829	1993	408
830	1994	405
831	1996	403
832	1997	400
833	1998	397
834	2002	395
835	2003	393
836	2004	390
837	2006	387
838	2007	385
839	2008	382
840	2010	380
841	2011	377
842	2012	374
843	2014	372
844	2017	370
845	2019	367
846	2020	364
847	2021	362
848	2022	359
849	2024	357
850	2026	354
851	2027	352
852	2030	349
853	2032	347
854	2034	344
855	2035	342
856	2038	340
857	2039	337
858	2040	335
859	2042	332
860	2043	329
861	2047	327
862	2048	325
863	2049	322
864	2051	320
865	2052	317
866	2053	315
867	2054	312
868	2056	309
869	2057	307
870	2058	304
871	2061	302
872	2063	300
873	2064	297
874	2065	295
875	2067	292
876	2068	290
877	2069	287
878	2071	285
879	2072	282
880	2073	280
881	2078	278
882	2080	275
883	2082	273
884	2084	270
885	2085	268
886	2086	265
887	2088	263
888	2089	260
889	2093	258
890	2094	256
891	2096	253
892	2097	251
893	2099	248
894	2100	246
895	2101	243
896	2103	241
897	2104	239
898	2107	236
899	2108	234
900	2110	231
901	2111	229
902	2113	227
903	2114	224
904	2116	222
905	2117	219
906	2118	217
907	2119	214
908	2122	212
909	2124	210
910	2126	207
911	2128	205
912	2131	203
913	2132	200
914	2133	198
915	2134	195
916	2138	193
917	2139	191
918	2140	188
919	2142	186
920	2143	183
921	2144	181
922	2146	179
923	2147	176
924	2148	174
925	2150	171
926	2152	169
927	2154	167
928	2155	164
929	2157	162
930	2158	159
931	2159	157
932	2161	155
933	2162	152
934	2163	150
935	2165	148
936	2169	145
937	2170	143
938	2171	141
939	2172	138
940	2174	136
941	2175	133
942	2177	131
943	2178	129
944	2180	126
945	2182	124
946	2184	122
947	2185	119
948	2187	117
949	2188	115
950	2190	112
951	2191	110
952	2193	108
953	2195	105
954	2198	103
955	2200	101
956	2202	98
957	2203	96
958	2204	94
959	2206	91
960	2207	89
961	2209	87
962	2212	85
963	2216	82
964	2218	80
965	2220	78
966	2222	75
967	2224	73
968	2225	71
969	2228	68
970	2230	66
971	2232	64
972	2233	61
973	2235	59
974	2236	57
975	2237	55
976	2239	52
977	2240	50
978	2241	48
979	2243	45
980	2245	43
981	2247	41
982	2248	38
983	2250	36
984	2251	34
985	2252	31
986	2254	29
987	2255	27
988	2256	25
989	2261	22
990	2263	20
991	2264	18
992	2266	15
993	2267	13
994	2268	11
995	2270	9
996	2271	6
997	2274	4
998	2275	2
999	2277	0
